OBJECTID,PIDN,DISTRICT,MAP,COMMENT,PIDN_ORIGINAL,RESOLUTION,RES_DATE,BOOK,PAGE,INSTRUMENT,REC_DATE,LAST_REVIEW,FLAG,RES_ACRES
21257,47000FI005600,47,FI,<Null>,47000FI005600,2017-03,2017/01/03 00:00:00+00,2407,7884,2017005951,2017/02/07 00:00:00+00,2010/02/01 00:00:00+00,,73
21258,47000FI005700,47,FI,,47000FI005700,2017-03,2017/01/03 00:00:00+00,2407,7884,2017005951,2017/02/07 00:00:00+00,1970/01/01 00:00:00+00,,122.37999725
21259,47000FI0063D0,47,FI,,47000FI0063D0,2017-03,2017/01/03 00:00:00+00,2407,7884,2017005951,2017/02/07 00:00:00+00,2010/02/01 00:00:00+00,,30.29000092
21260,53000IK0004A0,53,IK,,53000IK0004A0,03R-12-5,2003/12/15 00:00:00+00,1625,1430,2003128435,2003/12/30 00:00:00+00,1970/01/01 00:00:00+00,,75
21261,26000MI000200,26,MI,,26000MI000200,3-2-1996,1996/03/12 00:00:00+00,1256,1623,1996012183,1996/03/13 00:00:00+00,1970/01/01 00:00:00+00,,22
21262,26000MI002400,26,MI,,26000MI002400,3-2-1996,1996/03/12 00:00:00+00,1256,1623,1996012183,1996/03/13 00:00:00+00,1970/01/01 00:00:00+00,,11.5539999
21263,27000QG008000,27,QG,,27000QG008000,91-7,1991/08/19 00:00:00+00,0223,1078,1991039098,1998/08/21 00:00:00+00,1970/01/01 00:00:00+00,,113.13999939
21264,31000LK0164C0,31,LK,,31000LK0164C0,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,39.31999969
21265,31000LL001900,31,LL,,31000LL001900,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,16.20000076
21266,31000MJ0015B0,31,MJ,,31000MJ0015B0,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,11.39000034
21267,31000LL004200,31,LL,,31000LL004200,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,114.77999878
21268,31000LL0042B0,31,LL,,31000LL0042B0,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,79
21269,31000LL0047B0,31,LL,,31000LL0047B0,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,33.5
21270,31000LL005800,31,LL,,31000LL005800,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,56.47999954
21271,31000LL0069A0,31,LL,,31000LL0069A0,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,63
21272,31000ML0015B0,31,ML,,31000ML0015B0,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,38.88999939
21273,31000ML0029D0,31,ML,,31000ML0029D0,1995Review,1995/01/19 00:00:00+00,1046,0321,1995003849,1995/01/25 00:00:00+00,1970/01/01 00:00:00+00,,73.45999908
21274,31000KL006700,31,KL,,31000KL006700,2010-10,2010/02/04 00:00:00+00,2062,8076,2010005852,2010/02/05 00:00:00+00,1970/01/01 00:00:00+00,,65.93000031
21275,36000LH009600,36,LH,,36000LH009600,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,,26.79999924
21276,3600007006300,36,07,,3600007006300,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,,18
21277,36000LH007500,36,LH,,36000LH007500,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,,26.81999969
21278,36000LH010900,36,LH,,36000LH010900,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,,99
21279,36000LH011000,36,LH,,36000LH011000,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,,19
21280,36000LH0129C0,36,LH,,36000LH0129C0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,,13.39999962
21281,36000LH013300,36,LH,,36000LH013300,2005-19,2005/09/13 00:00:00+00,1755,2335,2005070964,2005/09/14 00:00:00+00,1970/01/01 00:00:00+00,,30
21282,36000LH015300,36,LH,,36000LH015300,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,,28
21283,36000LH0171F0,36,LH,,36000LH0171F0,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,,10.80000019
21284,39000OH017900,39,OH,,39000OH017900,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,,68
21285,39000OH018900,39,OH,,39000OH018900,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,,174
21286,39000QG009000,39,QG,,39000QG009000,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,,114
21287,39000QH002800,39,QH,,39000QH002800,91-2,1991/02/25 00:00:00+00,0130,0991,1991007490,1991/02/28 00:00:00+00,1970/01/01 00:00:00+00,,98
21288,47000FI007800,47,FI,,47000FI007800,2017-03,2017/01/03 00:00:00+00,2407,7884,2017005951,2017/02/07 00:00:00+00,2010/02/01 00:00:00+00,,58.79999924
21289,27000QG0080W0,27,QG,,27000QG008000,91-7,1991/08/19 00:00:00+00,0223,1078,1991039098,1998/08/21 00:00:00+00,1970/01/01 00:00:00+00,,0
21290,27000QG0080X0,27,QG,,27000QG008000,91-7,1991/08/19 00:00:00+00,0223,1078,1991039098,1998/08/21 00:00:00+00,1970/01/01 00:00:00+00,,0
21291,27000QG0089E0,27,QG,,27000QG008900,91-7,1991/08/19 00:00:00+00,0223,1078,1991039098,1991/08/21 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21292,27000QG0089J0,27,QG,,27000QG008900,91-7,1991/08/19 00:00:00+00,0223,1078,1991039098,1991/08/21 00:00:00+00,1970/01/01 00:00:00+00,,0
21293,27000QG0089K0,27,QG,,27000QG008900,91-7,1991/08/19 00:00:00+00,0223,1078,1991039098,1991/08/21 00:00:00+00,1970/01/01 00:00:00+00,,0
21294,27000QG0089L0,27,QG,,27000QG008900,91-7,1991/08/19 00:00:00+00,0223,1078,1991039098,1991/08/21 00:00:00+00,1970/01/01 00:00:00+00,,0
21295,27000QG0089M0,27,QG,,27000QG008900,91-7,1991/08/19 00:00:00+00,0223,1078,1991039098,1991/08/21 00:00:00+00,1970/01/01 00:00:00+00,,0
